#{"t_start": 1727809943.5609581, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
6495.86254,200,3241.104125,5.830951894845301,28.770749162414972
6478.853478,200,3253.134148,9.848857801796104,28.771879534436746
7224.480093,200,3259.655597,5.830951894845301,28.786871404943277
6704.44362,200,3267.737874,1.4142135623730951,28.779522116273196
6318.39903,200,3273.436908,19.697715603592208,28.82321948051278
6467.970343,200,3282.174493,15.652475842498529,28.765127873493515
7028.596911,200,3290.516908,15.620499351813308,28.804820213772036
6269.485841,200,3299.888381,12.041594578792296,28.798426874162473
6099.503897,200,3307.036854,15.652475842498529,28.743526044378093
6470.022154,200,3320.663745,19.1049731745428,28.759810980133302
6705.176776,200,3329.85401,14.317821063276353,28.745929022695673
6290.827991,200,3336.172035,11.661903789690601,28.774382004716895
6713.210704,200,3347.560327,8.0,28.76936309184494
6636.053752,200,3358.077214,3.605551275463989,28.73431882212931
6284.371261,200,3366.675104,12.649110640673518,28.763061645457675
6733.330725,200,3378.213971,4.242640687119285,28.774591355972706
6713.320326,200,3384.133424,7.810249675906654,28.770626381571585
6963.727588,200,3393.024583,7.211102550927978,28.797308730856685
6247.097311,200,3399.01214,9.0,28.820672570454853
7060.879186,200,3408.073413,1.0,28.728510836133427
6716.666235,200,3420.206275,2.0,28.8324889081419
6162.132602,200,3427.085351,15.556349186104045,28.705425087573623
6308.087651,200,3434.179605,24.186773244895647,28.723104634729605
7235.966678,200,3443.48463,5.830951894845301,28.759071392817297
6864.192823,200,3448.606312,5.830951894845301,28.833592856306815
6577.264878,200,3455.890406,1.4142135623730951,28.71028659008137
7234.357736,200,3461.931699,6.708203932499369,28.758761096091952
6493.548251,200,3470.136832,9.0,28.86671889498644
6875.130146,200,3478.85575,6.4031242374328485,28.712586794799414
6072.13618,200,3486.225794,9.848857801796104,28.759499420834977
7321.440459,200,3498.905711,7.810249675906654,28.79446207779953
6704.900397,200,3506.204166,18.681541692269406,28.802837459366547
6653.386835,200,3511.766428,9.486832980505138,28.809340335240574
6728.249116,200,3521.676484,3.1622776601683795,28.70960979305299
6706.571132,200,3527.904555,11.180339887498949,28.82126025601989
6757.645618,200,3536.204093,4.123105625617661,28.76875031592174
7220.856754,200,3542.877534,8.94427190999916,28.686484010311418
6744.00376,200,3551.341086,6.324555320336759,28.78272294869405
6719.737146,200,3557.820194,7.211102550927978,28.73742519864973
6500.881659,200,3567.214352,5.0990195135927845,28.702204403437108
6549.959729,200,3580.632821,18.35755975068582,28.788223076766887
6576.665489,200,3591.234341,4.123105625617661,28.840377068745767
6311.191404,200,3602.956722,8.94427190999916,28.7156673943357
6667.352079,200,3614.771688,15.132745950421556,28.75877938659204
6326.525979,200,3627.161623,10.04987562112089,28.733365815646415
6436.739135,200,3634.583588,8.06225774829855,28.689553743529302
6361.995977,200,3639.885744,9.219544457292887,28.73568103774276
6855.272373,200,3650.720649,8.94427190999916,28.814494191769217
6162.602245,200,3657.714112,6.082762530298219,28.771950395865208
6687.508236,200,3667.163922,13.0,28.845035479737447
6358.079104,200,3681.135658,11.704699910719626,28.767817703924774
6987.732856,200,3689.72454,5.0,28.818316887402858
6400.845738,200,3698.495483,5.830951894845301,28.74733403828754
6467.095483,200,3708.13582,6.324555320336759,28.84433584377011
7075.835987,200,3715.84062,1.4142135623730951,28.817236163482473
6918.726871,200,3724.493577,3.1622776601683795,28.790578868473915
6645.49835,200,3729.323466,6.082762530298219,28.79151496995983
